expiration_id,src_port,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,splt_direction,splt_ps,splt_piat_ms,application_is_guessed,application_confidence,Label
0,65389,9999,6,4,0,0,1.68E+12,1.68E+12,0,1,194,1.68E+12,1.68E+12,0,1,194,0,0,0,0,0,194,194,0,194,194,194,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[194, -1, -1]","[0, -1, -1]",0,0,dos
0,65381,9999,6,4,0,0,1.68E+12,1.68E+12,3823,2,2284,1.68E+12,1.68E+12,3823,2,2284,0,0,0,0,0,116,1142,1450.983115,2168,116,1142,1450.983115,2168,0,0,0,0,3823,3823,0,3823,3823,3823,0,3823,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, -1]","[116, 2168, -1]","[0, 3823, -1]",0,0,dos
0,65384,9999,6,4,0,0,1.68E+12,1.68E+12,0,1,116,1.68E+12,1.68E+12,0,1,116,0,0,0,0,0,116,116,0,116,116,116,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[116, -1, -1]","[0, -1, -1]",0,0,dos
0,65366,9999,6,4,0,0,1.68E+12,1.68E+12,0,1,264,1.68E+12,1.68E+12,0,1,264,0,0,0,0,0,264,264,0,264,264,264,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[264, -1, -1]","[0, -1, -1]",0,0,dos
0,65371,9999,6,4,0,0,1.68E+12,1.68E+12,0,1,412,1.68E+12,1.68E+12,0,1,412,0,0,0,0,0,412,412,0,412,412,412,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[412, -1, -1]","[0, -1, -1]",0,0,dos
0,65415,9999,6,4,0,0,1.68E+12,1.68E+12,0,1,116,1.68E+12,1.68E+12,0,1,116,0,0,0,0,0,116,116,0,116,116,116,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[116, -1, -1]","[0, -1, -1]",0,0,dos
0,65425,9999,6,4,0,0,1.68E+12,1.68E+12,3827,2,2284,1.68E+12,1.68E+12,3827,2,2284,0,0,0,0,0,116,1142,1450.983115,2168,116,1142,1450.983115,2168,0,0,0,0,3827,3827,0,3827,3827,3827,0,3827,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, -1]","[116, 2168, -1]","[0, 3827, -1]",0,0,dos
0,65399,9999,6,4,0,0,1.68E+12,1.68E+12,0,1,560,1.68E+12,1.68E+12,0,1,560,0,0,0,0,0,560,560,0,560,560,560,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[560, -1, -1]","[0, -1, -1]",0,0,dos
0,65448,9999,6,4,0,0,1.68E+12,1.68E+12,0,1,560,1.68E+12,1.68E+12,0,1,560,0,0,0,0,0,560,560,0,560,560,560,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[560, -1, -1]","[0, -1, -1]",0,0,dos
0,65451,9999,6,4,0,0,1.68E+12,1.68E+12,0,1,560,1.68E+12,1.68E+12,0,1,560,0,0,0,0,0,560,560,0,560,560,560,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, -1, -1]","[560, -1, -1]","[0, -1, -1]",0,0,dos
